title,date,subtitle,url
Ed Humpherson to Neil McIvor: Temporary exemption from Code for DfE attendance statistics,2020-06-19,"Ed Humpherson, Office for Statistics Regulation to Neil McIvor, Department for Education",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-neil-mcivor-temporary-exemption-from-code-for-dfe-attendance-statistics/
Ed Humpherson to Ken Roy: User engagement in the Defra Group,2020-06-18,"Ed Humpherson, Office for Statistics Regulation to Ken Roy, Department for Environment, Food and Rural Affairs",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-ken-roy-user-engagement-in-the-defra-group/
Letter from Sir David Norgrove to Richard Holden MP,2020-06-17,"Sir David Norgrove, UK Statistics Authority to Richard Holden MP, House of Commons",https://www.statisticsauthority.gov.uk/correspondence/letter-from-sir-david-norgrove-to-richard-holden-mp/
"Mark Pont to Tony O’Connor: Finance and Economic series: Trade, Industry and Contracts Statistics",2020-06-17,"Mark Pont, Office for Statistics Regulation to Tony O'Connor, Ministry of Defence",https://www.statisticsauthority.gov.uk/correspondence/finance-and-economic-series-trade-industry-and-contracts-statistics/
Matt Hancock response to Sir David Norgrove,2020-06-12,"Matt Hancock, Department of Health and Social Care to Sir David Norgrove, UK Statistics Authority",https://www.statisticsauthority.gov.uk/correspondence/matt-hancock-response-to-sir-david-norgrove/
Rapid review of interim indicators from the People and Nature Survey,2020-06-09,"Ed Humpherson, Office for Statistics Regulation to Rose O'Neill, Natural England",https://www.statisticsauthority.gov.uk/correspondence/rapid-review-of-interim-indicators-from-the-people-and-nature-survey/
Response to OSR from Jeremy Pocklington,2020-06-04,"Jeremy Pocklington, Ministry of Housing, Communities and Local Government to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/response-to-osr-from-jeremy-pocklington/
Ed Humpherson to Jeremy Pocklington: Management Information on Rough Sleepers,2020-06-02,"Ed Humpherson, Office for Statistics Regulation to Jeremy Pocklington, Ministry of Housing, Communities and Local Government",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-jeremy-pocklington-management-information-on-rough-sleepers/
Sir David Norgrove response to Matt Hancock regarding the Government’s COVID-19 testing data,2020-06-02,"Sir David Norgrove, UK Statistics Authority to Matt Hancock, Department of Health and Social Care",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-response-to-matt-hancock-regarding-the-governments-covid-19-testing-data/
Response from Matt Hancock to Sir David Norgrove – COVID-19 testing,2020-05-28,"Matt Hancock, Department of Health and Social Care to Sir David Norgrove, UK Statistics Authority",https://www.statisticsauthority.gov.uk/correspondence/response-from-matt-hancock-to-sir-david-norgrove-covid-19-testing/
"Letter from OSR to Duncan Selbie, Public Health England – Sero-surveillance data",2020-05-26,"Ed Humpherson, Office for Statistics Regulation to Duncan Selbie, Public Health England",https://www.statisticsauthority.gov.uk/correspondence/31546/
Rapid Review of DfT Transport Statistics during the COVID-19 pandemic,2020-05-15,"Ed Humpherson, Office for Statistics Regulation to Ian Knowles, Department for Transport",https://www.statisticsauthority.gov.uk/correspondence/rapid-review-of-dft-transport-statistics-during-the-covid-19-pandemic/
